Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Artificial intelligence and the Gulf Cooperation Council workforce: adapting to the future of work,Humanities and Social Sciences Communications,,,,10.1057/s41599-025-05984-5,Mohammad Rashed AlbousMelodena StephensOdeh Rashed Al-Jayyousi,2025,https://link.springer.com/article/10.1057/s41599-025-05984-5,Article
"Dual-Use Artificial Intelligence—Trends, Security Challenges, and Mitigation Strategies",Spectrum of Dual-Use Technologies,,,,10.1007/978-3-032-00202-0_1,Ashok Vaseashta,2026,https://link.springer.com/chapter/10.1007/978-3-032-00202-0_1,Chapter
Violence-Inducing Behavior Prevention in Social-Cyber Space,"AI, Data, and Digitalization",,,,10.1007/978-3-031-53770-7_10,Yasas SenarathHemant PurohitRajendra Akerkar,2024,https://link.springer.com/chapter/10.1007/978-3-031-53770-7_10,Conference paper
Responsible Detection and Mitigation of AI-Generated Text Using Hybrid Neural Networks and Feature Fusion: Toward Trustworthy Content Management in the Era of Large Language Models,International Journal of Computational Intelligence Systems,,,,10.1007/s44196-025-01025-w,Raed AlharthiStephen OjoThomas I. NathanielNagwan Abdel SameeMuhammad UmerMona M. JamjoomShtwai AlsubaiJawad Khan,2025,https://link.springer.com/article/10.1007/s44196-025-01025-w,Article
Large Language Models for&#xa0;Cybersecurity Education: A Survey of&#xa0;Current Practices and&#xa0;Future Directions,Data Science: Foundations and Applications,,,,10.1007/978-981-96-8295-9_1,Nan SunYuantian MiaoXiaoxing MoJun Zhang,2025,https://link.springer.com/chapter/10.1007/978-981-96-8295-9_1,Conference paper
A Survey of Cybersecurity Knowledge Base and Its Automatic Labeling,Network Simulation and Evaluation,,,,10.1007/978-981-97-4522-7_4,Zongzhe LiJiawei ZhangWeihong Han,2024,https://link.springer.com/chapter/10.1007/978-981-97-4522-7_4,Conference paper
Federated active meta-learning with blockchain for zero-day attack detection in industrial IoT,Peer-to-Peer Networking and Applications,,,,10.1007/s12083-025-02014-8,Kapil KumarManju Khari,2025,https://link.springer.com/article/10.1007/s12083-025-02014-8,Article
Enhancing Cloud Security with AI and Attribute Based Encryption,ICT Analysis and Applications,,,,10.1007/978-3-032-06697-8_45,Gunik ChhabraAashi KatariaAshima Mehta,2026,https://link.springer.com/chapter/10.1007/978-3-032-06697-8_45,Conference paper
A Survey on&#xa0;Malware Analysis with&#xa0;Large Language Models,"Knowledge Science, Engineering and Management",,,,10.1007/978-981-95-3072-4_4,Wenjie GuoHaoyuan WenLingming KongJingfeng XueJingjing HuWeijie HanYong Wang,2026,https://link.springer.com/chapter/10.1007/978-981-95-3072-4_4,Conference paper
Comprehensive Analysis of&#xa0;Scenario Matching Techniques in&#xa0;Cyberspace Security,Cyberspace Simulation and Evaluation,,,,10.1007/978-981-96-4503-9_11,Xun HuangHui LuJin PengChencong ZhengZhouyang LiuJieyao XueXinge ZhangYouyu LiuHaonan Zhang,2025,https://link.springer.com/chapter/10.1007/978-981-96-4503-9_11,Conference paper
Generative AI in&#xa0;Simulation-Based Test Environments for&#xa0;Large-Scale Cyber-Physical Systems: An Industrial Study,Product-Focused Software Process Improvement,,,,10.1007/978-3-032-12089-2_13,Masoud SadrnezhaadJosé Antonio Hernández LópezTorvald MårtenssonDániel Varró,2026,https://link.springer.com/chapter/10.1007/978-3-032-12089-2_13,Conference paper
Findings,Proactive Cyber Threat Intelligence,,,,10.1007/978-3-658-49241-0_4,Philipp Kühn,2025,https://link.springer.com/chapter/10.1007/978-3-658-49241-0_4,Chapter
AI Red Teaming for Elections,PROMISE – PROMoting AI’s Safe usage for Elections,,,,10.1007/978-3-031-89853-2_2,Anita Nikolich,2025,https://link.springer.com/chapter/10.1007/978-3-031-89853-2_2,Chapter
AI-Powered Static &amp; Dynamic Analysis for Continuous Security in DevSecOps,SN Computer Science,,,,10.1007/s42979-025-04382-7,Praveen Chaitanya Jakku,2025,https://link.springer.com/article/10.1007/s42979-025-04382-7,Article
Secure Code Generation with&#xa0;CodeT5: Leveraging Large Language Models and&#xa0;CVE Dataset,Information Systems for Intelligent Systems,,,,10.1007/978-981-96-1206-2_4,Ganesh S. NayakAnirudha RaoB. L. Siddhartha BhatSanjana Ganesh NayakMamatha BalachandraOm PrakashVarinder Pratap Singh,2025,https://link.springer.com/chapter/10.1007/978-981-96-1206-2_4,Conference paper
Automated Risk Assessment of&#xa0;Shell-Based Attacks Using a&#xa0;LLM,Risks and Security of Internet and Systems,,,,10.1007/978-3-031-89350-6_11,Sereysethy TouchJérôme FinkJean-Noël Colin,2025,https://link.springer.com/chapter/10.1007/978-3-031-89350-6_11,Conference paper
A web forensic optimization framework for investigating false information on social media using the ForenOptiNet model,Discover Computing,,,,10.1007/s10791-025-09810-z,Monikka Reshmi SethurajanK. Natarajan,2025,https://link.springer.com/article/10.1007/s10791-025-09810-z,Article
A Federated Learning and GAN-Based Stealthy Malware Detection Scheme for IIoT Security,Information Systems Frontiers,,,,10.1007/s10796-025-10659-2,Mikail Mohammed SalimByung Hyun JoSushil Kumar SinghJong Hyuk Park,2025,https://link.springer.com/article/10.1007/s10796-025-10659-2,Article
Analysis of&#xa0;Artificial Intelligence Solutions in&#xa0;Offensive Cybersecurity Domains,Intelligent Information and Database Systems,,,,10.1007/978-981-96-6008-7_23,Maciej KisielewiczMichal KedzioraIreneusz Jozwiak,2025,https://link.springer.com/chapter/10.1007/978-981-96-6008-7_23,Conference paper
A multi-label visualisation approach for malware behaviour analysis,Scientific Reports,,,,10.1038/s41598-025-21848-z,Dilara T. UysalPaul D. YooKamal TahaChan Yeob YeunErnesto Damiani,2025,https://link.springer.com/article/10.1038/s41598-025-21848-z,Article
"AI-Enabled Knowledge Management and Cybersecurity: Challenges, Opportunities, and Technological Implications",Business Intelligence and Information Technology,,,,10.1007/978-981-97-3980-6_26,Lina ZaidKhaled Shaalan,2024,https://link.springer.com/chapter/10.1007/978-981-97-3980-6_26,Conference paper
The Hidden Dangers of Publicly Accessible LLMs: A Case Study on Gab AI,Digital Forensics and Cyber Crime,,,,10.1007/978-3-031-89363-6_18,Lakshika VaishnavSakshi SinghKimberly A. Cornell,2025,https://link.springer.com/chapter/10.1007/978-3-031-89363-6_18,Conference paper
Implementing Comprehensive Security in Your Software Supply Chain,Supply Chain Software Security,,,,10.1007/979-8-8688-0799-2_9,Aamiruddin Syed,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0799-2_9,Chapter
Real-Time AI Voice Clone Detection: A&#xa0;Deep Learning Approach to&#xa0;Safeguard Authenticity,Data Science,,,,10.1007/978-3-031-85856-7_14,Cody ChenThaier Hayajneh,2025,https://link.springer.com/chapter/10.1007/978-3-031-85856-7_14,Conference paper
Detecting Jailbreaking Prompts: an Anti-Persuasion Filter Framework,Advances in Social Networks Analysis and Mining,,,,10.1007/978-3-031-85240-4_14,Giuseppe FenzaMariacristina GalloVincenzo LoiaAlessandro NicolosiClaudio Stanzione,2026,https://link.springer.com/chapter/10.1007/978-3-031-85240-4_14,Conference paper
Feature-Driven Malware Detection using Cascade Machine Learning Models,SN Computer Science,,,,10.1007/s42979-025-04342-1,Anisha MahatoRana MajumdarSwarup Kr Ghosh,2025,https://link.springer.com/article/10.1007/s42979-025-04342-1,Article
Fraud-BERT: transformer based context aware online recruitment fraud detection,Discover Computing,,,,10.1007/s10791-025-09502-8,Khushboo TanejaJyoti VashishthaSaroj Ratnoo,2025,https://link.springer.com/article/10.1007/s10791-025-09502-8,Article
"Chatgpt for cybersecurity: practical applications, challenges, and future directions",Cluster Computing,,,,10.1007/s10586-023-04124-5,Muna Al-HawawrehAhamed AljuhaniYaser Jararweh,2023,https://link.springer.com/article/10.1007/s10586-023-04124-5,Article
DuD Report,Datenschutz und Datensicherheit - DuD,,,,10.1007/s11623-025-2069-4,,2025,https://link.springer.com/article/10.1007/s11623-025-2069-4,Article
CoTSentry: Advanced Network Attack Detection with&#xa0;Chain-of-Thought Reasoning,"Knowledge Science, Engineering and Management",,,,10.1007/978-981-95-3001-4_4,Qi HeCongcong ZhuSuleiman A. AbahusseinMinghao WangMinglu Zhu,2026,https://link.springer.com/chapter/10.1007/978-981-95-3001-4_4,Conference paper
Extended Abstract: Assessing Language Models for&#xa0;Semantic Textual Similarity in&#xa0;Cybersecurity,"Detection of Intrusions and Malware, and Vulnerability Assessment",,,,10.1007/978-3-031-64171-8_19,Arian SoltaniDJeff Kanda NkashamaJordan Felicien MasakunaMarc FrappierPierre-Martin TardifFroduald Kabanza,2024,https://link.springer.com/chapter/10.1007/978-3-031-64171-8_19,Conference paper
Bytes and Battles in AI Era. Safeguarding Consumers’ Digital World,Digital Technology Platforms and Deployment,,,,10.1007/978-3-031-86547-3_16,Tatiana AntipovaSimona Riurean,2025,https://link.springer.com/chapter/10.1007/978-3-031-86547-3_16,Chapter
AI Potentiality and&#xa0;Awareness: A Position Paper from&#xa0;the&#xa0;Perspective of&#xa0;Human-AI Teaming in&#xa0;Cybersecurity,Intelligent Computing and Optimization,,,,10.1007/978-3-031-50887-5_14,Iqbal H. SarkerHelge JanickeNazeeruddin MohammadPaul WattersSurya Nepal,2024,https://link.springer.com/chapter/10.1007/978-3-031-50887-5_14,Conference paper
Combining Uncensored and&#xa0;Censored LLMs for&#xa0;Ransomware Generation,Web Information Systems Engineering – WISE 2024,,,,10.1007/978-981-96-0573-6_14,Muhammad Mudassar YaminEhtesham HashmiBasel Katt,2025,https://link.springer.com/chapter/10.1007/978-981-96-0573-6_14,Conference paper
Exploring the Dark Side: A Systematic Review of Generative AI’s Role in Network Attacks and Breaches,Recent Trends and Applications of Soft Computing in Engineering (RTASCE)— Sarajevo,,,,10.1007/978-3-031-82881-2_3,Hamza KurtovićEsma ŠabanovićAli Abd AlmisrebMohammed A. SalehNurlaila Ismail,2025,https://link.springer.com/chapter/10.1007/978-3-031-82881-2_3,Conference paper
AI Cybersecurity,AI and the Boardroom,,,,10.1007/979-8-8688-0796-1_18,Rohan Sharma,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0796-1_18,Chapter
"Cybersecurity Background Knowledge: Terminologies, Attack Frameworks, and Security Life Cycle",AI-Driven Cybersecurity and Threat Intelligence,,,,10.1007/978-3-031-54497-2_2,Iqbal H. Sarker,2024,https://link.springer.com/chapter/10.1007/978-3-031-54497-2_2,Chapter
"LLM-Driven Robots Risk Enacting Discrimination, Violence, and Unlawful Actions",International Journal of Social Robotics,,,,10.1007/s12369-025-01301-x,Andrew HundtRumaisa AzeemMasoumeh MansouriMartim Brandão,2025,https://link.springer.com/article/10.1007/s12369-025-01301-x,Article
Secure Trust-MM: A Multimodal Large Model Framework with Game-Theoretic Adversarial Defense for Trustworthy Cybersecurity,Advanced Intelligent Computing Technology and Applications,,,,10.1007/978-981-96-9946-9_5,Tianxiang XuJiahao LiChang LiuYuting ZhaoJianhe LiKangsheng WangZexu Huang,2025,https://link.springer.com/chapter/10.1007/978-981-96-9946-9_5,Conference paper
Comparative Study of NLP Tools for the Detection of Cyber Bullying,Advances in Artificial Intelligence and Machine Learning,,,,10.1007/978-981-96-3105-6_22,Jayati BhadraNavaneeth KashyapKunkum PoovammaS. Dutta,2025,https://link.springer.com/chapter/10.1007/978-981-96-3105-6_22,Conference paper
Generative artificial intelligence for sustainable development: predictive trend analysis in key sectors using natural language processing,Discover Applied Sciences,,,,10.1007/s42452-025-07207-7,Chetan SharmaShamneesh SharmaVivek BhardwajBalwinder Kaur Dhaliwal,2025,https://link.springer.com/article/10.1007/s42452-025-07207-7,Article
Insider Threat Detection Based on&#xa0;User and&#xa0;Entity Behavior Analysis with&#xa0;a&#xa0;Hybrid Model,Information Security,,,,10.1007/978-3-031-75764-8_17,Yue SongJianting Yuan,2025,https://link.springer.com/chapter/10.1007/978-3-031-75764-8_17,Conference paper
Temporal-Spatial Anomaly Detection in Multivariate Time Series via Image Encoding and Self-Supervised Learning,Annals of Data Science,,,,10.1007/s40745-025-00665-1,Yousef SanjalaweSalam FraihatSalam Al-E’mariSharif Naser Makhadmeh,2025,https://link.springer.com/article/10.1007/s40745-025-00665-1,Article
High-performance network attack detection in unknown scenarios based on improved vertical model,Cluster Computing,,,,10.1007/s10586-024-04840-6,Shuling HouGaoshang XiaoHuiying Zhou,2024,https://link.springer.com/article/10.1007/s10586-024-04840-6,Article
AI Agents in Defensive Security,Agentic AI,,,,10.1007/978-3-031-90026-6_7,Jerry HuangKen HuangChris Hughes,2025,https://link.springer.com/chapter/10.1007/978-3-031-90026-6_7,Chapter
Adapting ERM to a Digitally Connected World,Enterprise Risk Management,,,,10.1007/978-3-658-48879-6_5,Stefan Hunziker,2025,https://link.springer.com/chapter/10.1007/978-3-658-48879-6_5,Chapter
Towards AI-Based Identification of&#xa0;Publicly Known Vulnerabilities,Computer Security. ESORICS 2024 International Workshops,,,,10.1007/978-3-031-82362-6_11,Andrés Vargas-RiveraHerson Esquivel-Vargas,2025,https://link.springer.com/chapter/10.1007/978-3-031-82362-6_11,Conference paper
Research on the construction and application of problem-method-oriented academic graph empowered by LLM,Discover Computing,,,,10.1007/s10791-025-09675-2,Qigang LiuYinfan WangLifeng MuJun Li,2025,https://link.springer.com/article/10.1007/s10791-025-09675-2,Article
Natural Language Processing for&#xa0;Insider Threat Email Detection Optimized by&#xa0;Modified Metaheuristics,Information Systems for Intelligent Systems,,,,10.1007/978-981-96-1741-8_33,Aleksandar PetrovicNebojsa BacaninMiodrag ZivkovicLuka JovanovicMarko SaracMilos AntonijevicMarina Milovanovic,2025,https://link.springer.com/chapter/10.1007/978-981-96-1741-8_33,Conference paper
Guarding 6G use cases: a deep dive into AI/ML threats in All-Senses meeting,Annals of Telecommunications,,,,10.1007/s12243-024-01031-7,Leyli KaraçayZakaria LaaroussiSonika ujjwalElif Ustundag Soykan,2024,https://link.springer.com/article/10.1007/s12243-024-01031-7,Article
"Adversarial machine learning: a review of methods, tools, and critical industry sectors",Artificial Intelligence Review,,,,10.1007/s10462-025-11147-4,Sotiris PelekisThanos KoutroubasAfroditi BlikaAnastasis BerdelisEvangelos KarakolisChristos NtanosEvangelos SpiliotisDimitris Askounis,2025,https://link.springer.com/article/10.1007/s10462-025-11147-4,Article
Beyond the Black Box: XAI Strategies for Safeguarding Critical Infrastructure,Data Protection,,,,10.1007/978-3-031-76473-8_7,Arjun SinghSarthak KathaitAnshi KothariShantanu JoshiYutika AgarwalSaksham BadoniMohit BhattPreeti Mishra,2024,https://link.springer.com/chapter/10.1007/978-3-031-76473-8_7,Chapter
"Modern Methods for Anomaly Detection in Enterprise System Logs: Algorithms, Implementations, and Practical Case Studies",AISMA-2025: International Workshop on Advanced Information Security Management and Applications,,,,10.1007/978-3-032-07275-7_41,Sergey YarushevAleksandr Anurov,2026,https://link.springer.com/chapter/10.1007/978-3-032-07275-7_41,Conference paper
"Artificial Intelligence for&#xa0;Cybersecurity: Threats, Attacks and&#xa0;Mitigation",Artificial Intelligence for Societal Issues,,,,10.1007/978-3-031-12419-8_1,Abhilash ChakrabortyAnupam BiswasAjoy Kumar Khan,2023,https://link.springer.com/chapter/10.1007/978-3-031-12419-8_1,Chapter
Explainable AI for zero-day attack detection in IoT networks using attention fusion model,Discover Internet of Things,,,,10.1007/s43926-025-00184-8,Deepa KrishnanSwapnil SinghVijayan Sugumaran,2025,https://link.springer.com/article/10.1007/s43926-025-00184-8,Article
Enhancing misogyny detection in bilingual texts using explainable AI and multilingual fine-tuned transformers,Complex & Intelligent Systems,,,,10.1007/s40747-024-01655-1,Ehtesham HashmiSule Yildirim YayilganMuhammad Mudassar YaminMohib Ullah,2024,https://link.springer.com/article/10.1007/s40747-024-01655-1,Article
Unifying ground and air: a comprehensive review of deep learning-enabled CAVs and UAVs,Artificial Intelligence Review,,,,10.1007/s10462-025-11425-1,Muhammad Umer ZiaWei XiangTao HuangJameel AhmadJawwad Nasar ChatthaIjaz Haider NaqviFaran Awais Butt,2025,https://link.springer.com/article/10.1007/s10462-025-11425-1,Article
Automated Attack Tree Generation Using Artificial Intelligence and Natural Language Processing,Risks and Security of Internet and Systems,,,,10.1007/978-3-031-89350-6_9,Alan Birchler De AllendeBastien SultanLudovic Apvrille,2025,https://link.springer.com/chapter/10.1007/978-3-031-89350-6_9,Conference paper
DuD Report,Datenschutz und Datensicherheit - DuD,,,,10.1007/s11623-024-1960-8,,2024,https://link.springer.com/article/10.1007/s11623-024-1960-8,Article
Moving Towards Robust and Reliable AI: Vulnerability Detection Framework Through Red Teaming,Data Science and Communication Engineering,,,,10.1007/978-981-96-4543-5_14,Vishwanathan RamanAnindita DesarkarAritra Sen,2025,https://link.springer.com/chapter/10.1007/978-981-96-4543-5_14,Conference paper
Unmasking the Security Risks of Generative AI: Threats and Strategies for Defense,Mastering AI Governance,,,,10.1007/978-3-031-93681-4_7,Rajendra Gangavarapu,2025,https://link.springer.com/chapter/10.1007/978-3-031-93681-4_7,Chapter
Utilization of Artificial Intelligence for the SIEM Logging Architecture Design in the Context of Smart City,Advances and Trends in Artificial Intelligence. Theory and Applications,,,,10.1007/978-981-97-4677-4_9,Lubomir AlmerJosef HoralekVladimir Sobeslav,2024,https://link.springer.com/chapter/10.1007/978-981-97-4677-4_9,Conference paper
An elegant intellectual engine towards automation of blockchain smart contract vulnerability detection,Scientific Reports,,,,10.1038/s41598-025-08870-x,Balachandar RajuGayathri Devi K,2025,https://link.springer.com/article/10.1038/s41598-025-08870-x,Article
"A comprehensive survey on GNN-based anomaly detection: taxonomy, methods, and the role of large language models",International Journal of Machine Learning and Cybernetics,,,,10.1007/s13042-024-02516-6,Ziqi YuanQingyun SunHaoyi ZhouMinglai ShaoXingcheng Fu,2025,https://link.springer.com/article/10.1007/s13042-024-02516-6,Article
Vulnerabilities Introduced by LLMs Through Code Suggestions,Large Language Models in Cybersecurity,,,,10.1007/978-3-031-54827-7_9,Sebastiano Panichella,2024,https://link.springer.com/chapter/10.1007/978-3-031-54827-7_9,Chapter
Rethinking Dynamic Security Strategies: A Survey of Moving Target Defense and Self-Defending Systems Design,Telematics and Computing,,,,10.1007/978-3-032-09735-4_20,Alan Ignacio Delgado AlarconEleazar Aguirre AnayaNidia Asunción Cortez DuarteFlorencio Javier González Rodríguez,2026,https://link.springer.com/chapter/10.1007/978-3-032-09735-4_20,Conference paper
A Study of&#xa0;Effectiveness of&#xa0;Brand Domain Identification Features for&#xa0;Phishing Detection in&#xa0;2025,Applied Cryptography and Network Security Workshops,,,,10.1007/978-3-032-01823-6_6,Rina MishraGaurav Varshney,2026,https://link.springer.com/chapter/10.1007/978-3-032-01823-6_6,Conference paper
Enhancing Cloud Security Through Anomaly Detection: An Artificial Intelligence Driven Approach to Secure Authentication and Authorization in SAML and OAuth 2.0 Protocols,International Conference on Smart Systems and Emerging Technologies,,,,10.1007/978-3-031-91235-1_37,Morgan NwaikuMuhammad DiyanSultan AlmakdiIkram AsgharAkinade Olugbenga,2025,https://link.springer.com/chapter/10.1007/978-3-031-91235-1_37,Conference paper
Development Generative AI for Cybersecurity: Evaluating Script Generation and Attack Classification in Penetration Testing,AISMA-2023: International Workshop on Advanced Information Security Management and Applications,,,,10.1007/978-3-031-77229-0_6,Walaa H. ElashmawiHeba OsmanMahmoud OsamaNour Nader,2024,https://link.springer.com/chapter/10.1007/978-3-031-77229-0_6,Conference paper
Safeguarding Authenticity: Tackling the Cybersecurity Implications of Deepfake AI,Integrating Advanced Technologies for Enhanced Security and Efficiency,,,,10.1007/978-3-031-91798-1_6,Deepika AjalkarArti PatlePrasad DhendVaishnavi HandeKshitija GosaviAnuj Shukla,2025,https://link.springer.com/chapter/10.1007/978-3-031-91798-1_6,Chapter
AI Solutions,Artificial Intelligence for Logistics 5.0,,,,10.1007/978-3-031-94046-0_3,Bernardo Nicoletti,2025,https://link.springer.com/chapter/10.1007/978-3-031-94046-0_3,Chapter
"Secure and Trustworthy Microelectronics: Vulnerabilities, Solutions, and Trends",Journal of Hardware and Systems Security,,,,10.1007/s41635-025-00165-x,Sriram Prabhakara RaoShree Ram Abayankar BalajiFarishta RahmanTasneem SuhaTanzim MahfuzTanvir HossainMahmudul HasanMd Sakib HasanTamzidul HoquePrabuddha ChakrabortyPrakash Ranganathan,2025,https://link.springer.com/article/10.1007/s41635-025-00165-x,Article
TriCTI: an actionable cyber threat intelligence discovery system via trigger-enhanced neural network,Cybersecurity,,,,10.1186/s42400-022-00110-3,Jian LiuJunjie YanJun JiangYitong HeXuren WangZhengwei JiangPeian YangNing Li,2022,https://link.springer.com/article/10.1186/s42400-022-00110-3,Article
A2N-SFS: an advanced statistical adaptive feature selection method for enhancing intrusion detection systems in IoT systems,Knowledge and Information Systems,,,,10.1007/s10115-025-02540-0,Supongmen WallingSibesh Lodh,2025,https://link.springer.com/article/10.1007/s10115-025-02540-0,Article
Benchmarking Out of&#xa0;the&#xa0;Box Open-Source LLMs for&#xa0;Malware Detection Based on&#xa0;API Calls Sequences,Intelligent Data Engineering and Automated Learning – IDEAL 2024,,,,10.1007/978-3-031-77731-8_13,Ciprian-Alin SimionGheorghe BalanDragoş Teodor Gavriluţ,2025,https://link.springer.com/chapter/10.1007/978-3-031-77731-8_13,Conference paper
Large language models for building energy applications: Opportunities and challenges,Building Simulation,,,,10.1007/s12273-025-1235-9,Mingzhe LiuLiang ZhangJianli ChenWei-An ChenZhiyao YangL. James LoJin WenZheng O’Neill,2025,https://link.springer.com/article/10.1007/s12273-025-1235-9,Article
"Cybersecurity in networking: adaptations, investigation, attacks, and countermeasures",Annals of Telecommunications,,,,10.1007/s12243-023-00956-9,Ahmad Samer WazanFrédéric Cuppens,2023,https://link.springer.com/article/10.1007/s12243-023-00956-9,Article
AI-Assisted Assurance Profile Creation for&#xa0;System Security Assurance,Computer Security. ESORICS 2024 International Workshops,,,,10.1007/978-3-031-82362-6_29,Muhammad Mudassar YaminShao-Fang WenBasel Katt,2025,https://link.springer.com/chapter/10.1007/978-3-031-82362-6_29,Conference paper
An Approach to Measure the Effectiveness of the MITRE ATLAS Framework in Safeguarding Machine Learning Systems Against Data Poisoning Attack,Cybersecurity and Artificial Intelligence,,,,10.1007/978-3-031-52272-7_4,Conor WymberryHamid Jahankhani,2024,https://link.springer.com/chapter/10.1007/978-3-031-52272-7_4,Chapter
Ensuring Robustness of Large Language Models: Cross-Sectoral Challenges and Quality Solutions to Adversarial Attacks,Information System Design: Big Data Analytics and Data Science,,,,10.1007/978-981-96-9248-4_39,Eslam ElNebrisiShifan Khanday,2026,https://link.springer.com/chapter/10.1007/978-981-96-9248-4_39,Conference paper
Jailbreaking Large Language Models Through Content Concretization,Game Theory and AI for Security,,,,10.1007/978-3-032-08064-6_20,Johan WahréusAhmed HussainPanos Papadimitratos,2026,https://link.springer.com/chapter/10.1007/978-3-032-08064-6_20,Conference paper
Evaluating the role of Artificial Intelligence in sustainable development goals with an emphasis on “quality education”,Discover Sustainability,,,,10.1007/s43621-024-00682-9,Hatoon S. AlSagriShahab Saquib Sohail,2024,https://link.springer.com/article/10.1007/s43621-024-00682-9,Article
Practical evasion attack against neural network-based macro-malware detection method,Cluster Computing,,,,10.1007/s10586-024-04825-5,Mamoru MimuraKazuyuki Kurashina,2024,https://link.springer.com/article/10.1007/s10586-024-04825-5,Article
TTP Classification with&#xa0;Minimal Labeled Data: A Retrieval-Based Few-Shot Learning Approach,"Availability, Reliability and Security",,,,10.1007/978-3-032-00627-1_19,Dzenan HamzicFlorian SkopikMax LandauerMarkus WurzenbergerAndreas Rauber,2025,https://link.springer.com/chapter/10.1007/978-3-032-00627-1_19,Conference paper
LLM-Powered UAVs: A RAG-Based Approach for Safety-Critical Operations,Intelligent and Fuzzy Systems,,,,10.1007/978-3-031-97992-7_64,Anıl SezginAytuğ Boyacı,2025,https://link.springer.com/chapter/10.1007/978-3-031-97992-7_64,Conference paper
Editorial,International Journal of Information Technology,,,,10.1007/s41870-025-02772-x,M. Hoda,2025,https://link.springer.com/article/10.1007/s41870-025-02772-x,Article
BaitBlock: Hybrid AI-Approach for&#xa0;Phishing Detection Across Communication Platforms,Model and Data Engineering,,,,10.1007/978-3-031-87719-3_2,Aya Omar AbdeltawabMahmoud A. ElshikhaNadine M. AlSayadYoussef S. OkabNoha Gamal El-Din,2025,https://link.springer.com/chapter/10.1007/978-3-031-87719-3_2,Conference paper
Protecting society from AI misuse: when are restrictions on capabilities warranted?,AI & SOCIETY,,,,10.1007/s00146-024-02130-8,Markus AnderljungJulian HazellMoritz von Knebel,2024,https://link.springer.com/article/10.1007/s00146-024-02130-8,Article
Leading Trends in AI: A Literature Review,Artificial intelligence and Machine Learning,,,,10.1007/978-3-031-62843-6_10,Zbigniew PiotrowskiKarolina BlaszczukEmilia Gabrielczyk,2024,https://link.springer.com/chapter/10.1007/978-3-031-62843-6_10,Conference paper
Board Supervision of AI Governance Capabilities,AI Leadership for Corporate Boards,,,,10.1007/978-3-032-04087-9_7,Fernanda TorreLiselotte Hägertz EngstamRobin Teigland,2025,https://link.springer.com/chapter/10.1007/978-3-032-04087-9_7,Chapter
Voice Phishing: Detection Innovations and Security Challenges,Integration of Artificial Intelligence in IoT: Opportunities and Challenges,,,,10.1007/978-981-96-5918-0_41,Kumudini ManwarNetra Patil,2025,https://link.springer.com/chapter/10.1007/978-981-96-5918-0_41,Conference paper
Dumb Devices/Smart Adversaries: Real Threats in Critical Infrastructure,"Data, Security, and Trust in Smart Cities",,,,10.1007/978-3-031-61117-9_5,Adam Sewall,2024,https://link.springer.com/chapter/10.1007/978-3-031-61117-9_5,Chapter
Risk Detection in&#xa0;E-commerce with&#xa0;LLMs: Annotation Challenges and&#xa0;Lessons from&#xa0;Real-World Business News,"Pervasive Digital Services for People’s Well-Being, Inclusion and Sustainable Development",,,,10.1007/978-3-032-06164-5_11,Laleh DavoodiSima SalimiFilip GinterHarri Lorentz,2026,https://link.springer.com/chapter/10.1007/978-3-032-06164-5_11,Conference paper
The Implementation of U-space: Open Challenges from the Legal-Private Perspective,Governance and Control of Data and Digital Economy in the European Single Market,,,,10.1007/978-3-031-74889-9_22,Yolanda Bustos Moreno,2025,https://link.springer.com/chapter/10.1007/978-3-031-74889-9_22,Chapter
ChatGPT for SOC Analysts,Jump-start Your SOC Analyst Career,,,,10.1007/979-8-8688-0345-1_8,Tyler WallJarrett Rodrick,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0345-1_8,Chapter
"Deep learning applications in the Internet of Things: a review, tools, and future directions",Evolutionary Intelligence,,,,10.1007/s12065-024-00949-0,Parisa RaoufiAtefeh HemmatiAmir Masoud Rahmani,2024,https://link.springer.com/article/10.1007/s12065-024-00949-0,Article
ScamFerret: Detecting Scam Websites Autonomously with&#xa0;Large Language Models,"Detection of Intrusions and Malware, and Vulnerability Assessment",,,,10.1007/978-3-031-97620-9_1,Hiroki NakanoTakashi KoideDaiki Chiba,2025,https://link.springer.com/chapter/10.1007/978-3-031-97620-9_1,Conference paper
CyberEA: An Efficient Entity Alignment Framework for&#xa0;Cybersecurity Knowledge Graph,Security and Privacy in Communication Networks,,,,10.1007/978-3-031-64948-6_3,Yue HuangYongyan GuoCheng Huang,2025,https://link.springer.com/chapter/10.1007/978-3-031-64948-6_3,Conference paper
Combating evolving threats: A robust malicious domain detection framework for distributed networks,Peer-to-Peer Networking and Applications,,,,10.1007/s12083-025-02036-2,Yinuo JinFei HeYi ZhuHao Ren,2025,https://link.springer.com/article/10.1007/s12083-025-02036-2,Article
Securing AI,AI Strategy and Security,,,,10.1007/979-8-8688-1733-5_4,Donnie W. Wendt,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1733-5_4,Chapter
